Airline,ARPT,Count of YEAR,Average of ARR_DELAY_NEW,Average of ARR_DELAY,Average of DEP_DELAY_NEW,Average of DEP_DELAY
B6,ANC,187,17.11229947,7.101604278,19.7540107,15.64171123
Delta,SEA,30337,10.70658841,8.248730462,10.76522486,0.98579123
Delta,LAX,15120,13.43661506,11.31738785,11.86858847,0.201192843
Delta,JFK,9885,14.79149798,12.47661943,15.04403409,0.689732143
Delta,SFO,7721,17.36477906,14.32240508,16.28788272,4.791126103
Delta,PDX,4874,6.529447979,3.242766263,7.232730263,-0.989103618
Delta,LAS,4604,9.669782609,5.982391304,10.44168302,-0.587529976
Delta,SLC,4423,6.825644505,4.340343736,6.700226244,-2.383484163
Delta,MSP,3559,9.198426082,7.578695897,9.862651281,0.127497889
Delta,SAN,2940,8.548826131,5.876488602,8.842320819,-0.50887372
Delta,ATL,2581,9.549786904,8.377760558,8.089285714,-3.106754658
Delta,BOS,2004,14.16075886,12.36545182,15.61342013,3.972458688
Delta,HNL,1946,9.407197943,5.383547558,9.486361297,-1.707153886
Delta,DTW,1748,8.461098398,6.994851259,8.882588774,-1.633447881
Delta,DEN,1391,15.71253602,12.80475504,15.73608098,6.196673897
Delta,PHX,1347,13.59168523,10.69042316,12.5327381,1.822172619
Delta,ANC,1286,4.48755832,-0.684292379,4.306614786,-10.10116732
Delta,OGG,1108,16.03429603,12.98555957,16.50587173,7.987353207
Delta,ORD,976,16.69435897,13.55692308,13.73402062,0.683505155
Delta,SJC,820,20.67155067,17.6971917,20.27017115,10.64425428
Delta,GEG,485,7.049484536,2.870103093,8.375257732,-1.637113402
Delta,DCA,365,9.04109589,6.304109589,12.57692308,1.195054945
Delta,RDU,348,12.68011527,10.63400576,12.94508671,-0.170520231
Delta,BNA,332,5.701807229,2.009036145,5.834337349,-13.62951807
Delta,AUS,331,3.459214502,0.570996979,4.553191489,-4.589665653
Delta,IAD,322,7.636645963,4.52484472,7.390625,-8.984375
Delta,KOA,316,18.11075949,15.39556962,16.25396825,7.825396825
Delta,IND,311,10.92604502,8.578778135,8.54340836,-6.717041801
Delta,MCO,299,1.284280936,-1.826086957,3.120805369,-8.567114094
Delta,FAI,295,14.16271186,9.823728814,12.4334471,-2.136518771
Delta,LIH,294,3.948979592,-0.904761905,2.38225256,-11.53242321
Delta,PSP,140,7.714285714,4.15,5.258992806,-8.647482014
Delta,TUS,101,32.08910891,27.85148515,27.03030303,16.18181818
Delta,JNU,99,6.222222222,2.181818182,7.939393939,-1.505050505
Delta,MKE,83,8.493975904,4.662650602,9,-4.146341463
Delta,MSY,5,33.4,33.4,23,16.8
Delta,FLL,1,0,-2,0,-37
F9,SEA,627,19.07336523,12.16108453,21.56778309,20.22488038
F9,LAS,610,26.70491803,19.99508197,29.00327869,26.26721311
F9,DEN,532,20.88721805,15.40789474,22.19360902,20.02255639
F9,SFO,369,32.50677507,26.44173442,33.88617886,31.17073171
F9,AUS,362,21.19060773,14.94751381,20.68508287,16.75138122
F9,SAN,335,16.40895522,3.994029851,20.64179104,16.33134328
F9,SJC,213,20.33333333,13.97183099,19.1314554,13.56807512
F9,MCO,167,20.65868263,13.84431138,19.10179641,15.51497006
F9,LAX,93,19.09677419,11.51612903,18.65591398,13.83870968
F9,PDX,28,12.03571429,6.285714286,12.57142857,9.75
G4,LAS,29,1.275862069,-12.17241379,-6.103448276,0.517241379
G4,LAX,29,25.31034483,16.51724138,26.5862069,28.34482759
HA,HNL,3366,16.30778407,12.47450045,14.27035056,13.17706477
HA,OGG,2832,12.75503712,8.540473666,10.87535311,9.23269774
HA,LAX,1455,16.51826327,9.080634045,14.78350515,13.20893471
HA,OAK,1079,7.71918443,-1.758109361,5.085264133,0.829471733
HA,SFO,804,13.95006242,5.561797753,10.82960199,8.308457711
HA,SEA,754,10.99468792,2.868525896,7.153846154,4.631299735
HA,SAN,730,15.78737997,7.936899863,12.02054795,8.880821918
HA,SJC,729,11.07290234,2.349381018,8.466392318,4.271604938
HA,PDX,728,14.98349381,6.812929849,13.65384615,11.48626374
HA,LIH,365,8.093406593,2.211538462,9.150684932,7.336986301
HA,SMF,273,4.838827839,-8.428571429,4.446886447,0.754578755
NK,LAS,3176,12.7469272,3.829814056,12.78746851,9.288098237
NK,LAX,2846,14.18325712,5.668659866,14.943078,12.31447646
NK,SEA,1965,15.48370672,8.878309572,14.83256997,11.47888041
NK,PDX,878,10.24971494,2.350057013,10.5501139,6.463553531
NK,ORD,839,13.76702509,2.807646356,14.0965435,11.46603099
NK,BWI,483,15.83991684,8.276507277,13.91925466,12.33333333
NK,FLL,364,16.72451791,8.520661157,16.49450549,14.33516484
NK,PHL,358,10.05586592,-6.337988827,11.80167598,7.907821229
NK,DFW,188,25.50531915,22.21276596,24.36170213,22.27659574
NK,DTW,124,16.5203252,11.27642276,15.91129032,13.10483871
NK,IAH,120,28.53781513,24.28571429,29.61666667,27.93333333
NK,PHX,48,0.166666667,-14.70833333,1.375,-2.770833333
OO,SEA,6803,8.668189185,-1.587446589,9.008231663,6.329707482
OO,SFO,5420,15.68929166,7.196227113,15.97693727,12.50276753
OO,PDX,3855,8.015356585,0.042686101,6.583398184,2.490531777
OO,SJC,2547,6.093983484,-4.79826976,5.791912053,0.178641539
OO,SAN,2176,9.034594096,-1.114391144,8.815257353,4.024816176
OO,PSP,2174,22.92914125,14.29704364,21.58049678,15.85372585
OO,LAX,2135,11.21940928,0.483356774,10.8412178,7.302576112
OO,BOI,1906,7.073157895,-4.991578947,5.887198321,2.306400839
OO,SMF,1733,5.691150954,-4.897628687,5.270051933,-0.600692441
OO,SNA,1425,19.10095099,8.724213606,18.05754386,12.4554386
OO,SLC,1206,5.239401496,-10.40980881,5.236318408,-1.844112769
OO,AUS,1019,12.18190757,3.865290069,10.55937193,5.716388616
OO,DAL,772,8.272490222,-4.062581486,7.411917098,2.130829016
OO,BUR,597,3.817420436,-8.735343384,3.604690117,-3.938023451
OO,GEG,589,13.50594228,-0.876061121,14.25297114,10.9286927
OO,LAS,507,11.9408284,4.982248521,10.65877712,7.530571992
OO,PHX,339,21.36873156,11.78466077,22.06784661,18.85545723
OO,MKE,262,6.888030888,-13.86872587,6.65648855,4.164122137
OO,ONT,111,1.081081081,-8.477477477,0.648648649,-5.396396396
